resp,S1,S2,S3
0,3,2,1
0,4,2,1
0,5,2,1
0,6,2,1
0,7,2,1
1,1,2,8
1,4,3,1
0,5,3,1
1,1,3,6
0,7,3,1
1,1,3,8
0,1,4,5
1,6,4,1
1,7,4,1
1,8,4,1
0,1,5,6
0,1,5,7
0,1,5,8
1,7,6,1
1,8,6,1
0,1,7,8
0,2,3,4
0,5,3,2
0,6,3,2
1,2,3,7
0,8,3,2
1,5,4,2
1,6,4,2
1,7,4,2
1,8,4,2
0,2,5,6
1,7,5,2
0,2,5,8
0,2,6,7
0,2,6,8
0,2,7,8
1,5,4,3
0,3,4,6
1,7,4,3
0,3,4,8
1,6,5,3
0,3,5,7
0,3,5,8
1,7,6,3
1,3,6,8
1,8,7,3
0,4,5,6
0,4,5,7
0,4,5,8
1,7,6,4
1,8,6,4
0,4,7,8
1,5,6,7
1,5,6,8
0,8,7,5
1,8,7,6
